order_id,delivery_date,delivery_days,delivery_status,return_status,return_reason,refund_amount
500050,2024-10-25,8,Late,No Return,Unknown,0.0
500051,2025-10-20,4,Late,No Return,Unknown,0.0
500052,2025-01-11,4,Late,No Return,Unknown,0.0
500053,2024-01-15,7,Late,Returned,Late Delivery,363.57
500054,2024-05-09,6,On Time,No Return,Unknown,0.0
500055,2024-04-17,7,Late,No Return,Unknown,0.0
500056,2024-04-06,4,On Time,No Return,Unknown,0.0
500057,2025-01-23,4,On Time,No Return,Unknown,0.0
500058,2024-03-27,7,Late,No Return,Unknown,0.0
500059,2024-10-28,4,On Time,No Return,Unknown,0.0
500060,2024-02-04,4,On Time,No Return,Unknown,0.0
500061,2025-01-17,5,On Time,No Return,Unknown,0.0
500062,2024-11-28,3,On Time,No Return,Unknown,0.0
500063,2024-11-01,7,Late,No Return,Unknown,0.0
500064,2024-10-09,1,Not Delivered,No Return,Unknown,0.0
500065,2024-01-17,5,On Time,No Return,Unknown,0.0
500066,2025-10-01,1,On Time,No Return,Unknown,0.0
500067,2025-12-04,5,On Time,No Return,Unknown,0.0
500068,2024-03-13,4,Late,No Return,Unknown,0.0
500069,2025-06-13,7,Late,Returned,Quality Issue,5874.68
500070,2024-01-25,2,Late,No Return,Unknown,0.0
500071,2024-12-06,4,Late,No Return,Unknown,0.0
500072,2025-03-07,5,On Time,No Return,Unknown,0.0
500073,2024-08-01,5,On Time,Returned,Changed Mind,1443.8
500074,2024-08-08,6,On Time,No Return,Unknown,0.0
500075,2025-10-03,7,Late,No Return,Unknown,0.0
500076,2025-03-02,4,On Time,No Return,Unknown,0.0
500077,2024-03-21,8,Late,No Return,Unknown,0.0
500078,2025-12-26,4,Late,No Return,Unknown,0.0
500079,2025-09-01,4,Late,No Return,Unknown,0.0
500080,2025-10-31,4,Late,No Return,Unknown,0.0
500081,2024-10-08,8,Late,No Return,Unknown,0.0
500082,2025-12-29,4,Late,No Return,Unknown,0.0
500083,2025-10-07,6,Late,Returned,Late Delivery,1915.94
500084,2024-08-21,1,On Time,No Return,Unknown,0.0
500085,2024-02-15,5,Late,No Return,Unknown,0.0
500086,2024-10-18,3,On Time,No Return,Unknown,0.0
500087,2025-07-14,6,On Time,No Return,Unknown,0.0
500088,2024-09-30,4,On Time,No Return,Unknown,0.0
500089,2025-03-22,8,Late,Returned,Late Delivery,225.68
500090,2024-11-17,8,Late,No Return,Unknown,0.0
500091,2025-05-25,1,Not Delivered,No Return,Unknown,0.0
500092,2025-02-05,8,Late,No Return,Unknown,0.0
500093,2024-01-31,3,On Time,No Return,Unknown,0.0
500094,2024-10-01,5,On Time,No Return,Unknown,0.0
500095,2025-04-16,5,On Time,Returned,Changed Mind,3934.59
500096,2024-03-19,5,On Time,No Return,Unknown,0.0
500097,2025-10-25,7,Late,No Return,Unknown,0.0
500098,2025-11-08,4,On Time,No Return,Unknown,0.0
500099,2024-09-08,6,On Time,No Return,Unknown,0.0
500100,2025-02-18,5,Late,No Return,Unknown,0.0
500101,2025-05-17,5,On Time,No Return,Unknown,0.0
500102,2025-03-01,8,Late,No Return,Unknown,0.0
500103,2024-08-03,5,On Time,No Return,Unknown,0.0
500104,2024-08-17,7,Late,Returned,Wrong Item,166.92
500105,2024-12-30,5,Late,Returned,Late Delivery,1290.08
500106,2025-08-13,9,Late,Returned,Wrong Item,3978.62
500107,2024-01-28,8,Late,Returned,Damaged,2220.95
500108,2025-03-04,6,On Time,No Return,Unknown,0.0
500109,2024-05-06,6,On Time,No Return,Unknown,0.0
500110,2024-06-24,3,On Time,Returned,Damaged,2459.09
500111,2024-02-08,5,On Time,No Return,Unknown,0.0
500112,2024-03-16,5,On Time,Returned,Quality Issue,1106.9
500113,2025-07-03,5,Late,No Return,Unknown,0.0
500114,2025-09-15,3,Late,No Return,Unknown,0.0
500115,2025-06-24,6,On Time,No Return,Unknown,0.0
500116,2025-10-24,5,On Time,No Return,Unknown,0.0
500117,2024-01-19,5,On Time,No Return,Unknown,0.0
500118,2024-11-07,6,On Time,No Return,Unknown,0.0
500119,2025-07-06,5,On Time,No Return,Unknown,0.0
500120,2024-10-03,6,On Time,No Return,Unknown,0.0
500121,2024-02-27,5,On Time,No Return,Unknown,0.0
500122,2025-05-11,3,On Time,No Return,Unknown,0.0
500123,2025-07-19,6,On Time,No Return,Unknown,0.0
500124,2025-04-10,3,On Time,No Return,Unknown,0.0
500125,2025-06-12,6,On Time,No Return,Unknown,0.0
500126,2025-12-29,7,Late,No Return,Unknown,0.0
500127,2024-11-23,4,On Time,No Return,Unknown,0.0
500128,2025-06-12,5,On Time,No Return,Unknown,0.0
500129,2025-03-24,6,On Time,No Return,Unknown,0.0
500130,2024-09-12,5,On Time,No Return,Unknown,0.0
500131,2024-06-15,7,Late,No Return,Unknown,0.0
500132,2024-02-12,7,Late,No Return,Unknown,0.0
500133,2025-10-29,7,Late,No Return,Unknown,0.0
500134,2024-07-21,5,Late,No Return,Unknown,0.0
500135,2025-04-01,7,Late,No Return,Unknown,0.0
500136,2025-01-16,4,Late,No Return,Unknown,0.0
500137,2024-09-08,6,On Time,No Return,Unknown,0.0
500138,2025-01-30,3,Late,No Return,Unknown,0.0
500139,2024-07-23,1,On Time,No Return,Unknown,0.0
500140,2024-02-17,4,On Time,No Return,Unknown,0.0
500141,2024-11-15,5,On Time,No Return,Unknown,0.0
500142,2025-02-15,4,Late,No Return,Unknown,0.0
500143,2024-07-28,4,On Time,Returned,Damaged,1459.42
500144,2024-09-03,6,On Time,No Return,Unknown,0.0
500145,2024-02-15,5,On Time,Returned,Changed Mind,3807.06
500146,2025-08-17,7,Late,No Return,Unknown,0.0
500147,2025-12-20,6,On Time,No Return,Unknown,0.0
500148,2025-01-05,8,Late,No Return,Unknown,0.0
500149,2024-04-08,4,On Time,No Return,Unknown,0.0
500150,2025-06-30,7,Late,No Return,Unknown,0.0
500151,2024-05-28,5,Late,No Return,Unknown,0.0
500152,2024-03-05,6,On Time,No Return,Unknown,0.0
500153,2025-10-05,3,On Time,No Return,Unknown,0.0
500154,2025-05-26,3,Not Delivered,No Return,Unknown,0.0
500155,2025-06-02,6,On Time,No Return,Unknown,0.0
500156,2024-01-24,2,On Time,No Return,Unknown,0.0
500157,2024-07-23,1,On Time,No Return,Unknown,0.0
500158,2025-12-03,4,On Time,No Return,Unknown,0.0
500159,2025-04-18,3,On Time,No Return,Unknown,0.0
500160,2024-10-17,7,Late,No Return,Unknown,0.0
500161,2025-01-11,5,Late,No Return,Unknown,0.0
500162,2025-05-17,5,Late,No Return,Unknown,0.0
500163,2024-11-28,1,On Time,No Return,Unknown,0.0
500164,2024-02-01,5,On Time,No Return,Unknown,0.0
500165,2024-05-14,6,On Time,Returned,Changed Mind,1331.73
500166,2025-01-20,6,On Time,No Return,Unknown,0.0
500167,2025-05-26,5,On Time,No Return,Unknown,0.0
500168,2024-04-07,3,On Time,No Return,Unknown,0.0
500169,2025-08-05,5,On Time,No Return,Unknown,0.0
500170,2024-06-30,5,Late,No Return,Unknown,0.0
500171,2025-04-23,6,On Time,No Return,Unknown,0.0
500172,2025-05-05,5,On Time,No Return,Unknown,0.0
500173,2024-10-05,4,Late,No Return,Unknown,0.0
500174,2025-10-31,2,On Time,No Return,Unknown,0.0
500175,2025-03-01,3,On Time,No Return,Unknown,0.0
500176,2025-06-21,7,Late,No Return,Unknown,0.0
500177,2024-11-20,5,Late,No Return,Unknown,0.0
500178,2024-02-29,2,Late,No Return,Unknown,0.0
500179,2024-10-05,6,On Time,No Return,Unknown,0.0
500180,2024-07-21,5,Late,Returned,Late Delivery,850.28
500181,2024-03-25,6,On Time,No Return,Unknown,0.0
500182,2024-02-18,8,Late,No Return,Unknown,0.0
500183,2024-09-07,6,On Time,No Return,Unknown,0.0
500184,2024-01-27,4,On Time,No Return,Unknown,0.0
500185,2025-12-14,5,On Time,No Return,Unknown,0.0
500186,2024-08-27,4,On Time,Returned,Changed Mind,1524.72
500187,2024-05-13,8,Not Delivered,No Return,Unknown,0.0
500188,2024-05-22,3,On Time,No Return,Unknown,0.0
500189,2025-02-05,8,Late,No Return,Unknown,0.0
500190,2024-05-11,5,On Time,No Return,Unknown,0.0
500191,2024-04-26,3,On Time,No Return,Unknown,0.0
500192,2025-06-16,8,Late,No Return,Unknown,0.0
500193,2024-08-20,5,On Time,No Return,Unknown,0.0
500194,2025-06-08,4,On Time,No Return,Unknown,0.0
500195,2024-05-29,4,Late,No Return,Unknown,0.0
500196,2024-06-15,4,On Time,No Return,Unknown,0.0
500197,2026-01-02,5,Late,No Return,Unknown,0.0
500198,2024-06-22,5,On Time,Returned,Late Delivery,5778.24
500199,2025-06-27,6,On Time,No Return,Unknown,0.0
500200,2024-05-09,5,On Time,No Return,Unknown,0.0
500201,2024-11-03,8,Not Delivered,No Return,Unknown,0.0
500202,2024-09-12,6,On Time,No Return,Unknown,0.0
500203,2025-06-12,7,Late,No Return,Unknown,0.0
500204,2024-04-21,7,Late,Returned,Quality Issue,1122.97
500205,2025-09-13,4,Late,No Return,Unknown,0.0
500206,2025-05-31,4,Late,No Return,Unknown,0.0
500207,2025-12-01,7,Late,Returned,Late Delivery,6720.97
500208,2025-05-26,6,On Time,No Return,Unknown,0.0
500209,2024-11-06,9,Late,No Return,Unknown,0.0
500210,2025-10-20,6,On Time,No Return,Unknown,0.0
500211,2024-08-20,3,On Time,No Return,Unknown,0.0
500212,2024-03-09,5,On Time,No Return,Unknown,0.0
500213,2025-08-17,5,Late,No Return,Unknown,0.0
500214,2024-08-24,5,On Time,No Return,Unknown,0.0
500215,2025-08-28,7,Late,No Return,Unknown,0.0
500216,2024-07-10,9,Late,No Return,Unknown,0.0
500217,2024-11-16,2,Not Delivered,No Return,Unknown,0.0
500218,2025-10-22,3,On Time,No Return,Unknown,0.0
500219,2024-04-05,4,Late,No Return,Unknown,0.0
500220,2025-10-02,6,Not Delivered,No Return,Unknown,0.0
500221,2024-03-09,5,Late,No Return,Unknown,0.0
500222,2024-08-10,4,Late,No Return,Unknown,0.0
500223,2025-12-09,5,Late,No Return,Unknown,0.0
500224,2025-09-18,8,Late,No Return,Unknown,0.0
500225,2024-09-09,6,On Time,No Return,Unknown,0.0
500226,2025-04-23,6,Not Delivered,No Return,Unknown,0.0
500227,2024-03-01,4,Late,No Return,Unknown,0.0
500228,2024-02-21,7,Late,No Return,Unknown,0.0
500229,2024-03-30,4,Late,No Return,Unknown,0.0
500230,2024-02-12,5,On Time,No Return,Unknown,0.0
500231,2024-07-04,4,Late,No Return,Unknown,0.0
500232,2024-06-18,6,Not Delivered,No Return,Unknown,0.0
500233,2024-05-08,3,On Time,No Return,Unknown,0.0
500234,2024-07-29,4,Late,No Return,Unknown,0.0
500235,2024-10-02,9,Late,No Return,Unknown,0.0
500236,2024-12-24,5,On Time,No Return,Unknown,0.0
500237,2025-02-18,4,Late,No Return,Unknown,0.0
500238,2025-08-29,8,Late,No Return,Unknown,0.0
500239,2025-10-22,4,Late,No Return,Unknown,0.0
500240,2024-05-05,4,On Time,No Return,Unknown,0.0
500241,2025-05-24,2,Late,No Return,Unknown,0.0
500242,2025-09-04,3,On Time,No Return,Unknown,0.0
500243,2025-04-16,3,Late,No Return,Unknown,0.0
500244,2024-05-16,4,On Time,No Return,Unknown,0.0
500245,2025-01-17,4,Late,No Return,Unknown,0.0
500246,2024-11-17,4,Late,No Return,Unknown,0.0
500247,2025-08-03,4,On Time,No Return,Unknown,0.0
500248,2025-12-17,6,Late,No Return,Unknown,0.0
500249,2024-05-07,3,On Time,No Return,Unknown,0.0
500250,2025-03-30,4,On Time,No Return,Unknown,0.0
500251,2025-12-23,3,On Time,No Return,Unknown,0.0
500252,2024-07-28,2,On Time,No Return,Unknown,0.0
500253,2024-11-01,6,On Time,No Return,Unknown,0.0
500254,2025-05-09,6,On Time,No Return,Unknown,0.0
500255,2025-09-28,4,On Time,No Return,Unknown,0.0
500256,2024-05-24,3,On Time,No Return,Unknown,0.0
500257,2025-04-22,4,Late,No Return,Unknown,0.0
500258,2025-07-27,5,On Time,No Return,Unknown,0.0
500259,2024-11-02,3,On Time,No Return,Unknown,0.0
500260,2025-10-24,6,On Time,No Return,Unknown,0.0
500261,2025-07-15,6,On Time,No Return,Unknown,0.0
500262,2025-10-11,6,On Time,No Return,Unknown,0.0
500263,2025-08-22,7,Late,No Return,Unknown,0.0
500264,2024-02-07,8,Late,No Return,Unknown,0.0
500265,2025-01-17,6,On Time,No Return,Unknown,0.0
500266,2024-12-10,4,Late,No Return,Unknown,0.0
500267,2024-07-30,3,Late,No Return,Unknown,0.0
500268,2024-09-04,5,On Time,No Return,Unknown,0.0
500269,2025-11-30,5,On Time,Returned,Changed Mind,1833.64
500270,2024-06-11,5,On Time,No Return,Unknown,0.0
500271,2024-05-27,2,Late,No Return,Unknown,0.0
500272,2024-12-09,4,On Time,No Return,Unknown,0.0
500273,2024-04-03,2,On Time,No Return,Unknown,0.0
500274,2024-11-29,5,On Time,No Return,Unknown,0.0
500275,2024-06-21,1,On Time,No Return,Unknown,0.0
500276,2025-12-07,5,On Time,No Return,Unknown,0.0
500277,2024-02-06,6,On Time,No Return,Unknown,0.0
500278,2025-09-18,6,On Time,No Return,Unknown,0.0
500279,2024-10-01,3,On Time,No Return,Unknown,0.0
500280,2024-04-08,4,On Time,No Return,Unknown,0.0
500281,2024-03-22,5,On Time,No Return,Unknown,0.0
500282,2024-06-05,6,On Time,No Return,Unknown,0.0
500283,2024-05-27,6,Late,No Return,Unknown,0.0
500284,2024-08-21,3,On Time,No Return,Unknown,0.0
500285,2024-05-13,6,Late,No Return,Unknown,0.0
500286,2025-11-30,4,On Time,No Return,Unknown,0.0
500287,2025-05-15,4,On Time,No Return,Unknown,0.0
500288,2024-10-09,3,On Time,No Return,Unknown,0.0
500289,2025-07-01,7,Late,No Return,Unknown,0.0
500290,2025-06-19,6,On Time,No Return,Unknown,0.0
500291,2024-05-14,4,On Time,No Return,Unknown,0.0
500292,2025-04-10,5,On Time,No Return,Unknown,0.0
500293,2024-09-29,4,Late,No Return,Unknown,0.0
500294,2025-09-11,2,On Time,No Return,Unknown,0.0
500295,2025-11-04,5,Not Delivered,No Return,Unknown,0.0
500296,2025-07-28,4,On Time,No Return,Unknown,0.0
500297,2025-08-30,4,Late,No Return,Unknown,0.0
500298,2024-09-21,5,On Time,Returned,Changed Mind,3081.89
500299,2024-02-24,4,Late,No Return,Unknown,0.0
500300,2024-05-19,7,Late,No Return,Unknown,0.0
500301,2025-11-13,4,Late,No Return,Unknown,0.0
500302,2024-01-11,6,On Time,No Return,Unknown,0.0
500303,2025-10-15,6,On Time,Returned,Quality Issue,1127.05
500304,2025-05-23,7,Late,No Return,Unknown,0.0
500305,2024-07-10,8,Late,No Return,Unknown,0.0
500306,2025-02-16,4,Late,No Return,Unknown,0.0
500307,2024-04-06,6,On Time,No Return,Unknown,0.0
500308,2025-03-16,5,On Time,No Return,Unknown,0.0
500309,2024-07-10,3,On Time,No Return,Unknown,0.0
500310,2025-05-02,8,Late,Returned,Damaged,6590.14
500311,2025-01-23,6,On Time,No Return,Unknown,0.0
500312,2024-11-23,6,On Time,No Return,Unknown,0.0
500313,2025-03-22,4,On Time,Returned,Changed Mind,2757.9
500314,2025-05-09,5,On Time,No Return,Unknown,0.0
500315,2024-05-16,4,Late,No Return,Unknown,0.0
500316,2025-11-20,6,On Time,No Return,Unknown,0.0
500317,2025-03-07,6,Late,No Return,Unknown,0.0
500318,2024-09-11,5,Late,No Return,Unknown,0.0
500319,2024-03-04,3,On Time,No Return,Unknown,0.0
500320,2025-07-19,4,Late,No Return,Unknown,0.0
500321,2025-03-03,6,On Time,No Return,Unknown,0.0
500322,2025-04-22,2,Late,No Return,Unknown,0.0
500323,2024-08-16,6,On Time,No Return,Unknown,0.0
500324,2025-03-16,3,On Time,No Return,Unknown,0.0
500325,2025-11-20,6,On Time,No Return,Unknown,0.0
500326,2025-01-24,6,On Time,No Return,Unknown,0.0
500327,2024-11-17,3,On Time,No Return,Unknown,0.0
500328,2024-08-16,4,On Time,No Return,Unknown,0.0
500329,2025-03-01,3,Not Delivered,No Return,Unknown,0.0
500330,2024-07-15,6,Late,No Return,Unknown,0.0
500331,2024-03-23,4,Late,No Return,Unknown,0.0
500332,2025-01-01,2,On Time,No Return,Unknown,0.0
500333,2024-01-27,5,On Time,No Return,Unknown,0.0
500334,2025-07-04,3,On Time,No Return,Unknown,0.0
500335,2024-11-30,5,On Time,No Return,Unknown,0.0
500336,2024-06-06,2,Late,No Return,Unknown,0.0
500337,2024-03-04,8,Late,No Return,Unknown,0.0
500338,2024-09-11,7,Late,Returned,Quality Issue,267.18
500339,2024-09-20,3,On Time,No Return,Unknown,0.0
500340,2025-03-18,8,Late,No Return,Unknown,0.0
500341,2025-06-16,6,On Time,No Return,Unknown,0.0
500342,2025-04-27,5,On Time,No Return,Unknown,0.0
500343,2025-12-03,3,On Time,No Return,Unknown,0.0
500344,2025-06-27,6,On Time,No Return,Unknown,0.0
500345,2025-06-20,2,Late,No Return,Unknown,0.0
500346,2025-01-21,6,On Time,No Return,Unknown,0.0
500347,2024-04-19,7,Late,No Return,Unknown,0.0
500348,2024-02-06,8,Late,No Return,Unknown,0.0
500349,2025-05-01,4,Late,No Return,Unknown,0.0
500350,2024-02-28,2,On Time,No Return,Unknown,0.0
500351,2024-03-11,9,Late,No Return,Unknown,0.0
500352,2024-02-23,6,On Time,No Return,Unknown,0.0
500353,2025-01-08,7,Late,No Return,Unknown,0.0
500354,2025-07-06,6,Late,No Return,Unknown,0.0
500355,2025-07-19,8,Late,No Return,Unknown,0.0
500356,2025-07-02,4,Late,No Return,Unknown,0.0
500357,2024-11-27,5,On Time,No Return,Unknown,0.0
500358,2024-09-25,3,Late,No Return,Unknown,0.0
500359,2025-12-31,3,Late,No Return,Unknown,0.0
500360,2026-01-04,6,On Time,No Return,Unknown,0.0
500361,2024-06-27,3,On Time,No Return,Unknown,0.0
500362,2024-02-16,3,On Time,No Return,Unknown,0.0
500363,2024-08-10,4,Late,No Return,Unknown,0.0
500364,2024-05-10,5,On Time,No Return,Unknown,0.0
500365,2025-01-21,8,Late,No Return,Unknown,0.0
500366,2024-11-21,7,Late,No Return,Unknown,0.0
500367,2024-11-08,8,Late,No Return,Unknown,0.0
500368,2024-07-21,3,On Time,No Return,Unknown,0.0
500369,2024-03-29,4,On Time,No Return,Unknown,0.0
500370,2024-02-15,5,On Time,No Return,Unknown,0.0
500371,2025-12-28,5,Late,No Return,Unknown,0.0
500372,2025-07-06,2,On Time,No Return,Unknown,0.0
500373,2025-01-03,6,On Time,No Return,Unknown,0.0
500374,2024-10-01,6,On Time,No Return,Unknown,0.0
500375,2025-01-01,5,On Time,No Return,Unknown,0.0
500376,2025-01-06,5,Late,No Return,Unknown,0.0
500377,2024-07-06,7,Late,Returned,Quality Issue,1409.67
500378,2024-08-24,6,On Time,Returned,Quality Issue,517.32
500379,2024-03-16,6,On Time,No Return,Unknown,0.0
500380,2025-08-14,4,Late,No Return,Unknown,0.0
500381,2025-05-08,5,Late,No Return,Unknown,0.0
500382,2024-08-25,4,On Time,No Return,Unknown,0.0
500383,2025-03-11,7,Late,No Return,Unknown,0.0
500384,2025-10-15,6,On Time,No Return,Unknown,0.0
500385,2025-11-01,5,On Time,No Return,Unknown,0.0
500386,2024-10-23,3,On Time,No Return,Unknown,0.0
500387,2024-12-18,5,On Time,No Return,Unknown,0.0
500388,2024-04-14,6,On Time,No Return,Unknown,0.0
500389,2024-12-29,3,On Time,No Return,Unknown,0.0
500390,2024-12-29,6,On Time,No Return,Unknown,0.0
500391,2024-05-15,6,On Time,No Return,Unknown,0.0
500392,2025-06-06,4,Late,No Return,Unknown,0.0
500393,2025-01-23,6,On Time,No Return,Unknown,0.0
500394,2025-09-14,6,On Time,No Return,Unknown,0.0
500395,2025-07-21,6,On Time,No Return,Unknown,0.0
500396,2024-03-08,4,Late,No Return,Unknown,0.0
500397,2025-02-05,6,On Time,No Return,Unknown,0.0
500398,2024-07-06,7,Late,No Return,Unknown,0.0
500399,2025-08-13,4,Late,No Return,Unknown,0.0
500400,2024-07-15,8,Late,No Return,Unknown,0.0
500401,2024-07-09,8,Late,No Return,Unknown,0.0
500402,2025-05-12,6,Not Delivered,No Return,Unknown,0.0
500403,2025-08-07,5,On Time,No Return,Unknown,0.0
500404,2024-06-23,5,Late,No Return,Unknown,0.0
500405,2024-11-20,3,On Time,No Return,Unknown,0.0
500406,2024-06-25,5,On Time,No Return,Unknown,0.0
500407,2024-10-16,6,Not Delivered,No Return,Unknown,0.0
500408,2025-09-15,5,Late,No Return,Unknown,0.0
500409,2025-01-03,3,On Time,No Return,Unknown,0.0
500410,2024-04-25,5,Late,No Return,Unknown,0.0
500411,2024-03-23,5,On Time,No Return,Unknown,0.0
500412,2025-12-03,5,On Time,No Return,Unknown,0.0
500413,2024-09-14,5,On Time,Returned,Quality Issue,1814.04
500414,2024-08-25,2,On Time,Returned,Late Delivery,7254.28
500415,2024-04-07,5,Late,No Return,Unknown,0.0
500416,2025-10-06,3,On Time,Returned,Quality Issue,827.77
500417,2025-12-02,7,Late,No Return,Unknown,0.0
500418,2024-02-10,7,Late,No Return,Unknown,0.0
500419,2025-04-30,5,Not Delivered,No Return,Unknown,0.0
500420,2025-02-11,4,On Time,No Return,Unknown,0.0
500421,2024-08-14,5,On Time,No Return,Unknown,0.0
500422,2025-05-09,5,On Time,No Return,Unknown,0.0
500423,2024-12-09,4,Not Delivered,No Return,Unknown,0.0
500424,2025-05-28,1,On Time,No Return,Unknown,0.0
500425,2025-09-03,3,On Time,No Return,Unknown,0.0
500426,2025-08-23,2,On Time,No Return,Unknown,0.0
500427,2024-09-13,5,On Time,No Return,Unknown,0.0
500428,2025-01-03,5,On Time,No Return,Unknown,0.0
500429,2025-06-16,6,On Time,No Return,Unknown,0.0
500430,2024-05-28,7,Late,Returned,Wrong Item,1265.57
500431,2024-11-11,5,On Time,No Return,Unknown,0.0
500432,2025-01-25,6,On Time,No Return,Unknown,0.0
500433,2025-08-08,4,Late,No Return,Unknown,0.0
500434,2024-11-13,6,On Time,No Return,Unknown,0.0
500435,2024-10-07,2,On Time,No Return,Unknown,0.0
500436,2025-07-24,5,On Time,No Return,Unknown,0.0
500437,2024-12-16,5,Not Delivered,No Return,Unknown,0.0
500438,2025-01-29,8,Late,No Return,Unknown,0.0
500439,2024-11-04,7,Late,No Return,Unknown,0.0
500440,2025-05-27,6,On Time,Returned,Changed Mind,1653.94
500441,2024-09-09,6,On Time,No Return,Unknown,0.0
500442,2025-10-14,7,Late,No Return,Unknown,0.0
500443,2025-05-05,3,On Time,No Return,Unknown,0.0
500444,2024-08-30,4,Late,Returned,Quality Issue,212.85
500445,2025-06-14,2,On Time,No Return,Unknown,0.0
500446,2024-12-20,6,On Time,No Return,Unknown,0.0
500447,2024-12-21,4,Late,No Return,Unknown,0.0
500448,2024-06-08,6,On Time,No Return,Unknown,0.0
500449,2025-06-01,8,Late,No Return,Unknown,0.0
500450,2024-07-10,6,On Time,No Return,Unknown,0.0
500451,2025-08-18,1,On Time,No Return,Unknown,0.0
500452,2025-07-26,6,On Time,No Return,Unknown,0.0
500453,2025-03-04,4,Late,No Return,Unknown,0.0
500454,2024-03-07,5,On Time,No Return,Unknown,0.0
500455,2025-02-09,5,On Time,No Return,Unknown,0.0
500456,2024-03-04,5,Late,No Return,Unknown,0.0
500457,2024-05-26,5,On Time,Returned,Quality Issue,693.01
500458,2025-04-15,5,Late,Returned,Damaged,15410.5
500459,2024-06-04,7,Late,No Return,Unknown,0.0
500460,2025-03-27,5,On Time,No Return,Unknown,0.0
500461,2024-06-26,4,Late,No Return,Unknown,0.0
500462,2024-11-11,5,On Time,No Return,Unknown,0.0
500463,2024-03-06,4,Late,No Return,Unknown,0.0
500464,2024-06-18,3,On Time,No Return,Unknown,0.0
500465,2025-11-13,1,On Time,No Return,Unknown,0.0
500466,2024-04-17,5,On Time,No Return,Unknown,0.0
500467,2024-02-03,6,On Time,No Return,Unknown,0.0
500468,2025-08-22,4,Late,No Return,Unknown,0.0
500469,2025-05-28,6,On Time,No Return,Unknown,0.0
500470,2024-05-20,7,Late,No Return,Unknown,0.0
500471,2024-03-03,4,On Time,No Return,Unknown,0.0
500472,2024-04-03,4,Late,Returned,Wrong Item,608.65
500473,2024-03-16,6,On Time,No Return,Unknown,0.0
500474,2024-07-08,5,On Time,No Return,Unknown,0.0
500475,2025-03-19,6,On Time,No Return,Unknown,0.0
500476,2025-07-28,3,On Time,No Return,Unknown,0.0
500477,2025-04-21,3,On Time,No Return,Unknown,0.0
500478,2025-10-23,5,Not Delivered,No Return,Unknown,0.0
500479,2024-06-21,5,On Time,No Return,Unknown,0.0
500480,2025-08-06,6,On Time,No Return,Unknown,0.0
500481,2024-05-09,6,On Time,No Return,Unknown,0.0
